#{"t_start": 1753208471.752023, "env_id": "None"}
r,l,t
5.705648,9,3264.872033
1445.025708,1024,3270.449517
1482.443792,1024,3275.098876
1452.703179,1024,3280.477344
1457.365692,1024,3285.669031
6.766663,9,3285.689686
1529.986639,1024,3290.231313
1532.418189,1024,3296.018072
6.511538,11,3296.059905
1490.641732,1024,3300.774451
7.018426,14,3300.816113
1463.803486,1024,3305.417876
1480.729664,1024,3311.249672
1552.559409,1024,3315.960355
1539.514016,1024,3320.929883
1434.138353,1024,3326.483765
1458.717996,1024,3331.176026
1479.741267,1024,3336.687728
1521.795908,1024,3341.756053
1552.954373,1024,3346.461187
1402.205167,1024,3352.403381
1412.948058,1024,3357.128865
8.029661,10,3357.153607
1512.375498,1024,3361.956209
1565.714929,1024,3367.893409
1505.839295,1024,3372.637633
1510.205805,1024,3377.834861
1093.454446,783,3382.690432
1478.999148,1024,3387.332505
1476.491506,1024,3392.584073
3.71385,9,3392.617209
1451.653913,1024,3397.846033
1422.915482,1024,3402.407523
1477.745088,1024,3408.329978
1468.753977,1024,3412.998939
7.259932,9,3413.020493
19.665984,31,3413.099482
1482.08678,1024,3417.769196
1554.270712,1024,3423.61038
1431.283285,1024,3428.279536
1474.888237,1024,3433.187631
1461.673979,1024,3438.777443
7.491168,9,3438.799218
1423.765262,1024,3443.512229
8.195781,9,3443.53416
1417.205144,1024,3448.792156
1515.26354,1024,3453.897762
1514.909981,1024,3458.500941
7.018189,10,3458.529552
1487.643033,1024,3464.501536
1448.389601,1024,3469.018851
8.550129,9,3469.04128
1447.561369,1024,3473.62252
1484.643204,1024,3479.397153
1405.000319,1024,3483.939298
672.411284,480,3485.060302
1450.976039,1024,3490.324176
8.550129,9,3490.352167
1487.982946,1024,3495.583019
1453.609946,1024,3500.171023
1430.968379,1024,3505.806033
1433.310071,1024,3510.587523
10.059257,9,3510.610642
1419.345059,1024,3515.158997
1381.58489,1024,3520.967404
1313.779283,1024,3525.619901
1395.102211,1024,3530.448763
1354.433921,1024,3536.430626
7.939946,9,3536.453486
1429.203798,1024,3541.186812
1477.268004,1024,3546.638684
1378.470801,1024,3551.788275
1376.143708,1024,3556.443993
8.550129,9,3556.464356
1468.169786,1024,3562.421601
1446.991928,1024,3567.067713
8.550129,9,3567.093611
97.096722,73,3567.265683
1387.64669,1024,3572.005373
1339.539158,1024,3577.955248
5.117983,10,3577.978319
1363.04985,1024,3582.605364
6.519839,9,3582.62683
1415.093949,1024,3587.635111
1412.541224,1024,3593.149203
4.514365,9,3593.170767
1376.974567,1024,3597.743544
1462.304079,1024,3603.256365
9.769623,13,3603.300446
901.949777,720,3607.619001
9.295546,14,3607.655556
1268.503717,985,3612.287886
1501.582406,1024,3618.067553
6.420152,9,3618.099903
4.523978,9,3618.131845
1382.849563,1024,3622.993132
5.940735,9,3623.015982
8.589913,9,3623.036802
3.52737,9,3623.056035
1469.237029,1024,3627.761482
1512.298576,1024,3633.637721
8.020802,10,3633.678418
6.663822,9,3633.701906
1387.909424,1024,3638.376662
1341.96249,1024,3643.420475
1359.8639,1024,3649.025955
2.48513,9,3649.047163
1384.3927,1024,3653.754555
1500.542874,1024,3659.288007
1456.907113,1024,3664.339141
1393.766428,1024,3668.952607
8.047918,9,3668.975414
1363.364044,1024,3675.002024
1461.829159,1024,3679.582407
5.699108,9,3679.604105
1474.385463,1024,3684.290614
8.047918,10,3684.317447
1459.045659,1024,3690.151845
1466.170296,1024,3694.755213
1392.682567,1024,3699.708014
1390.378613,1024,3705.105712
1425.620439,1024,3709.601115
8.082425,10,3709.624962
11.134109,12,3709.651602
1374.905837,1024,3715.035088
10.820966,9,3715.067995
1389.586303,1024,3719.913136
1421.424193,1024,3724.411915
1405.040214,1024,3729.909728
1320.586169,1024,3734.646537
7.997938,10,3734.6713
1425.22844,1024,3739.174765
1403.340338,1024,3744.826658
4.253029,9,3744.846545
4.022346,9,3744.869122
9.764762,8,3744.886945
1333.00927,1024,3749.255235
5.833748,9,3749.27486
6.375833,8,3749.291166
8.550129,9,3749.310218
1445.454024,1024,3753.705832
1450.25347,1024,3759.32499
4.03616,9,3759.348585
1363.110265,1024,3763.777329
1415.518736,1024,3768.157864
7.393393,10,3768.179465
1431.938005,1024,3773.794919
9.197095,9,3773.816163
1441.024373,1024,3778.151362
1473.087236,1024,3782.668218
8.565792,8,3782.691998
4.7972,9,3782.72032
95.152337,96,3786.058118
3.549692,8,3786.080886
1425.765124,1024,3790.730857
1458.974654,1024,3795.25941
8.195781,9,3795.279016
5.857499,8,3795.295423
1384.787338,1024,3801.10799
1397.912795,1024,3805.520113
8.05744,9,3805.540431
1344.146994,1024,3810.019041
1325.296869,1024,3815.813959
5.857528,10,3815.836015
1411.4159,1024,3820.487316
7.026883,9,3820.509031
1357.889709,1024,3825.391507
6.569103,8,3825.425338
1384.005053,1024,3830.924839
1443.783803,1024,3835.438121
8.550129,9,3835.457713
1464.325595,1024,3840.339658
1371.188978,1024,3845.425717
1371.592012,1024,3849.84948
10.846824,9,3849.871488
1382.587187,1024,3855.330132
1414.178345,1024,3860.255251
1428.283643,1024,3864.710766
1472.06046,1024,3870.314671
5.285031,9,3870.343394
1447.483848,1024,3874.879584
1420.836517,1024,3879.268504
1425.891923,1024,3884.860325
4.253029,9,3884.881392
1497.745992,1024,3889.38719
1237.874202,1024,3893.84312
1293.797607,1024,3899.524508
1443.85562,1024,3904.032118
1408.21477,1024,3908.660039
1401.108003,1024,3914.334886
1380.958809,1024,3918.77128
8.355038,9,3918.790879
1403.427857,1024,3923.966787
10.843291,9,3923.999954
1464.467231,1024,3929.207436
1505.18004,1024,3933.659409
11.021291,15,3933.694964
1412.17347,1024,3938.98168
1403.152138,1024,3943.96484
1485.710494,1024,3948.538611
1458.390319,1024,3954.341391
1336.300087,1024,3958.786424
1461.160729,1024,3963.212446
1462.925087,1024,3968.973923
1404.882913,1024,3973.493073
1446.017867,1024,3978.048702
1428.677535,1024,3983.877228
1382.030379,1024,3988.492513
3.595999,9,3988.514035
1320.055907,1024,3993.302346
1423.709763,1024,3998.891725
1300.111815,1024,4003.309988
10.846824,9,4003.328916
1450.683545,1024,4008.449522
1338.369652,1024,4013.505185
1401.943226,1024,4018.052439
1378.067154,1024,4023.582499
1454.2615,1024,4028.330211
7.728589,12,4028.364341
1380.270142,1024,4032.889927
1367.908007,1024,4038.634602
1472.423009,1024,4043.140828
1443.932445,1024,4047.591337
1463.895045,1024,4053.358246
1327.316957,1024,4057.869311
38.090074,49,4057.986717
1218.245053,1024,4062.491565
1428.116628,1024,4068.174552
8.550129,9,4068.194427
1433.855427,1024,4072.658364
1324.462718,1024,4077.36879
7.873994,9,4077.395605
1367.008097,1024,4082.755655
1398.557308,1024,4087.274412
1410.242779,1024,4092.188826
1452.921142,1024,4097.374549
4.124223,9,4097.395969
1389.027048,1024,4101.922895
6.876709,10,4101.947135
4.129964,9,4101.966665
